contact_id,author,timestamp,entry_text,linked_opportunity_id,visibility
68dab0ad04660,Robert Lee,2025-09-29 13:30,"Discussed filtration upgrade and next steps.",101,public
68dab0ad04660,Rob,"2025-09-29 21:21","talked to the person",,public
68db56a0a1681,Admin,"2025-09-30 20:50","I have updated this",,internal
68db56a0a1681,"Robert Lee","2025-09-30 22:19","This is a new one",,public
68db56a0a16a0,"Robert Lee","2025-09-30 23:39","Left message in February",,public
68db56a0a16af,"Robert Lee","2025-09-30 23:41","joe is president bernie, Sheri and Shawn",,public
68db56a0a16af,"Robert Lee","2025-09-30 23:41","emailed in September",,public
68db56a0a16b2,"Robert Lee","2025-09-30 23:42","Left message with woods in February",,public
68db56a0a17cc,"Robert Lee","2025-10-01 16:03","Spoke, not required right now but will be put in the books as a back up ISO controls
",,public
68db56a0a1936,"Robert Lee","2025-10-01 16:05","spoke in september, They are relictant to switch as have been with Evoqual for 20 years",,public
68db56a0a18a2,"Robert Lee","2025-10-01 16:09","emailed Feb 12 2025",,public
68db56a0a1847,"Robert Lee","2025-10-01 16:23","Emailed March 4",,public
68db56a0a1819,"Robert Lee","2025-10-01 16:26","Left Message",,public
68db56a0a1819,"Robert Lee","2025-10-01 16:26","Left Message",,public
68db56a0a17fe,"Robert Lee","2025-10-01 16:27","Emailed March 4",,public
68db56a0a1805,"Robert Lee","2025-10-01 16:29","email March 4",,public
68db56a0a1746,"Robert Lee","2025-10-01 16:33","1800361 6924 x 137",,public
68db56a0a1681,"Robert Lee","2025-10-01 17:39","called talked to receptionist. put me through to accts payable.",,public
68db56a0a1681,"Robert Lee","2025-10-01 17:52","spoke with wayne. they have deionized water. Would like us to email and follow in mid november",,public
68db56a0a168a,"Robert Lee","2025-10-01 17:57","Left message with George.",,public
68db56a0a168e,"Robert Lee","2025-10-01 18:00","send an email to confirmw who would be best to discuss",,public
68db56a0a168e,"Robert Lee","2025-10-02 20:23","email bounced back will need to verify email address and resent
",,public
68db56a0a168e,"Robert Lee","2025-10-02 20:26","found issue sent email",,public
68db56a0a1681,"Robert Lee","2025-10-02 21:41","email forwarded with brochure
",,public
68db56a0a1698,"Robert Lee","2025-10-02 21:45","phone number no longer works",,public
68db56a0a169a,"Robert Lee","2025-10-02 22:00","jimmy Giancoulas is the supervisor but did nto know who was in charge fo the water system",,public
68db56a0a169e,"Robert Lee","2025-10-02 22:05","Left message",,public
68db56a0a16a3,"Robert Lee","2025-10-02 22:30","called and Juan has left for the day, ",,public
68db56a0a16a3,"Robert Lee","2025-10-02 22:33","sent an email to juan",,public
68db56a0a16b5,"Robert Lee","2025-10-03 16:47","Left message",,public
